name,parent_id
Sayuran,
Buah-buahan,
Biji-bijian & Serealia,
Umbi-umbian,
Kacang-kacangan,
Rempah-rempah & Bumbu,
Tanaman Perkebunan,
Bunga,
Hasil Hutan Non-Kayu,
Pakan Ternak,
Sayuran Daun,1
Sayuran Buah,1
Sayuran Akar & Umbi,1
Buah Tropis,2
Buah Subtropis,2
Buah Berry,2
Padi & Beras,3
Jagung,3
Gandum & Serealia Lain,3
Singkong & Ubi,4
Kentang,4
Kacang Tanah,5
Kedelai,5
Kacang Hijau & Lainnya,5
Rempah Daun,6
Rempah Akar & Rimpang,6
Kopi,7
Teh,7
Kakao,7
Kelapa & Turunannya,7
Madu,9
Rotan & Bambu,9
Hijauan Pakan,10
