name,province_id
Kabupaten Aceh Barat,1
Kabupaten Aceh Barat Daya,1
Kabupaten Aceh Besar,1
Kabupaten Aceh Jaya,1
Kabupaten Aceh Selatan,1
Kabupaten Aceh Singkil,1
Kabupaten Aceh Tamiang,1
Kabupaten Aceh Tengah,1
Kabupaten Aceh Tenggara,1
Kabupaten Aceh Timur,1
Kabupaten Aceh Utara,1
Kabupaten Bener Meriah,1
Kabupaten Bireuen,1
Kabupaten Gayo Lues,1
Kabupaten Nagan Raya,1
Kabupaten Pidie,1
Kabupaten Pidie Jaya,1
Kabupaten Simeulue,1
Kota Banda Aceh,1
Kota Langsa,1
Kota Lhokseumawe,1
Kota Sabang,1
Kota Subulussalam,1
Kabupaten Asahan,2
Kabupaten Batu Bara,2
Kabupaten Dairi,2
Kabupaten Deli Serdang,2
Kabupaten Humbang Hasundutan,2
Kabupaten Karo,2
Kabupaten Labuhanbatu,2
Kabupaten Labuhanbatu Selatan,2
Kabupaten Labuhanbatu Utara,2
Kabupaten Langkat,2
Kabupaten Mandailing Natal,2
Kabupaten Nias,2
Kabupaten Nias Barat,2
Kabupaten Nias Selatan,2
Kabupaten Nias Utara,2
Kabupaten Padang Lawas,2
Kabupaten Padang Lawas Utara,2
Kabupaten Pakpak Bharat,2
Kabupaten Samosir,2
Kabupaten Serdang Bedagai,2
Kabupaten Simalungun,2
Kabupaten Tapanuli Selatan,2
Kabupaten Tapanuli Tengah,2
Kabupaten Tapanuli Utara,2
Kabupaten Toba,2
Kota Binjai,2
Kota Gunungsitoli,2
Kota Medan,2
Kota Padangsidimpuan,2
Kota Pematangsiantar,2
Kota Sibolga,2
Kota Tanjungbalai,2
Kota Tebing Tinggi,2
Kabupaten Agam,3
Kabupaten Dharmasraya,3
Kabupaten Kepulauan Mentawai,3
Kabupaten Lima Puluh Kota,3
Kabupaten Padang Pariaman,3
Kabupaten Pasaman,3
Kabupaten Pasaman Barat,3
Kabupaten Pesisir Selatan,3
Kabupaten Sijunjung,3
Kabupaten Solok,3
Kabupaten Solok Selatan,3
Kabupaten Tanah Datar,3
Kota Bukittinggi,3
Kota Padang,3
Kota Padang Panjang,3
Kota Pariaman,3
Kota Payakumbuh,3
Kota Sawahlunto,3
Kota Solok,3
Kabupaten Bengkalis,4
Kabupaten Indragiri Hilir,4
Kabupaten Indragiri Hulu,4
Kabupaten Kampar,4
Kabupaten Kepulauan Meranti,4
Kabupaten Kuantan Singingi,4
Kabupaten Pelalawan,4
Kabupaten Rokan Hilir,4
Kabupaten Rokan Hulu,4
Kabupaten Siak,4
Kota Dumai,4
Kota Pekanbaru,4
Kabupaten Bintan,5
Kabupaten Karimun,5
